iter	Logloss
0	0.6801499328
1	0.668386117
2	0.6574055339
3	0.6459140448
4	0.6353604884
5	0.6261610113
6	0.6167840622
7	0.6080311009
8	0.5997482949
9	0.5918431766
10	0.5839242018
11	0.5766677905
12	0.5701751366
13	0.5631202622
14	0.5566815329
15	0.5507059925
16	0.5449042545
17	0.5390887823
18	0.5338560908
19	0.5291760424
20	0.5242155679
21	0.5195421372
22	0.5149140125
23	0.5106826246
24	0.5070746354
25	0.5030351111
26	0.4990513035
27	0.4958184274
28	0.4929570213
29	0.4897110795
30	0.486783154
31	0.4838119232
32	0.4810482297
33	0.4784895367
34	0.4764480521
35	0.4740126058
36	0.471590693
37	0.4690867303
38	0.4677166003
39	0.4654638864
40	0.4632583042
41	0.4615165558
42	0.4594117482
43	0.4576481348
44	0.4558087634
45	0.4540287046
46	0.4520927808
47	0.4500346819
48	0.4485386085
49	0.4474997032
50	0.4460360114
51	0.4451664726
52	0.4436564348
53	0.4420651838
54	0.4406590296
55	0.4397643796
56	0.4387223437
57	0.4375346391
58	0.4365512161
59	0.4356144154
60	0.4345799428
61	0.4335019703
62	0.4323366712
63	0.4313953549
64	0.4303182833
65	0.4297877564
66	0.4287984197
67	0.4280354536
68	0.4272644135
69	0.426313075
70	0.4259352772
71	0.4254379956
72	0.42472425
73	0.4239589315
74	0.4232483971
75	0.4223845432
76	0.4216225997
77	0.421089927
78	0.4203976416
79	0.4201305957
80	0.4196554025
81	0.4191843045
82	0.4184142349
83	0.4176993528
84	0.4171685901
85	0.4163940205
86	0.4158718161
87	0.4156758567
88	0.4152180588
89	0.414803293
90	0.4143594917
91	0.4141850695
92	0.414057365
93	0.4133716895
94	0.4127647233
95	0.4124073572
96	0.4118093698
97	0.4112583704
98	0.4107952496
99	0.4103462359
100	0.4100454742
101	0.4097452917
102	0.40949215
103	0.4091087691
104	0.4085815498
105	0.4082297074
106	0.4078714264
107	0.4075877812
108	0.4074143307
109	0.4068965097
110	0.4065778729
111	0.4062915998
112	0.4058871839
113	0.4056082719
114	0.4052089515
115	0.4049507765
116	0.4045131939
117	0.4042412661
118	0.4040973876
119	0.4037822521
120	0.4035794224
121	0.4034078122
122	0.4030540643
123	0.4029114707
124	0.4025426425
125	0.4022918732
126	0.4019939365
127	0.4018430931
128	0.4015599994
129	0.4012467876
130	0.4011356161
131	0.4008414771
132	0.4007451255
133	0.4005587323
134	0.400354638
135	0.4001400428
136	0.3998889049
137	0.3996062124
138	0.3993941372
139	0.3988728977
140	0.3987636666
141	0.3984773806
142	0.3983160222
143	0.3981171227
144	0.3980219462
145	0.3978661117
146	0.397694697
147	0.397650856
148	0.3974950318
149	0.3971660222
150	0.397050321
151	0.3969274897
152	0.396714426
153	0.3966826112
154	0.3965482383
155	0.3962159242
156	0.3960238209
157	0.3959932946
158	0.3958247011
159	0.3956629541
160	0.3954968236
161	0.3954302022
162	0.3952111652
163	0.3951400606
164	0.3949516544
165	0.3948066999
166	0.3946293546
167	0.3946067981
168	0.3944550702
169	0.3943254939
170	0.394259375
171	0.3939715946
172	0.3936969007
173	0.3934542763
174	0.3932836363
175	0.3932141161
176	0.3930316436
177	0.3929753665
178	0.3929365394
179	0.3927080993
180	0.3925964333
181	0.3924061596
182	0.3923851007
183	0.3923703
184	0.3922337992
185	0.3920082014
186	0.391993968
187	0.3919390346
188	0.3919385138
189	0.391918293
190	0.3916828781
191	0.3916826781
192	0.3915124684
193	0.3914471987
194	0.3912233309
195	0.3911890076
196	0.3911690951
197	0.3911032539
198	0.3910864817
199	0.3908331545
200	0.3906351021
201	0.3904970454
202	0.3903815779
203	0.3903646812
204	0.3901177575
205	0.3898962146
206	0.3898763516
207	0.3897782077
208	0.3896681485
209	0.3896667057
210	0.3894673386
211	0.3893422299
