iter	Passed	Remaining
415	3034	4259
416	3043	4255
417	3055	4253
418	3065	4250
419	3074	4245
420	3078	4233
421	3091	4234
422	3098	4226
423	3107	4221
424	3118	4218
425	3125	4210
426	3132	4202
427	3140	4197
428	3149	4191
429	3156	4184
430	3164	4178
431	3173	4172
432	3184	4170
433	3193	4164
434	3202	4159
435	3211	4154
436	3223	4153
437	3237	4153
438	3240	4140
439	3250	4136
440	3257	4128
441	3267	4125
442	3275	4118
443	3287	4116
444	3296	4111
445	3307	4108
446	3313	4099
447	3322	4093
448	3331	4088
449	3341	4084
450	3354	4082
451	3361	4075
452	3372	4072
453	3383	4069
454	3390	4061
455	3399	4055
456	3411	4053
457	3421	4049
458	3429	4042
459	3439	4037
460	3446	4029
461	3462	4031
462	3483	4039
463	3493	4035
464	3507	4035
465	3517	4030
466	3524	4022
467	3536	4019
468	3548	4017
469	3554	4008
470	3563	4002
471	3573	3997
472	3581	3990
473	3588	3982
474	3600	3979
475	3615	3980
476	3627	3976
477	3644	3980
478	3654	3974
479	3666	3971
480	3676	3966
481	3685	3961
482	3701	3961
483	3712	3957
484	3719	3949
485	3726	3940
486	3736	3936
487	3746	3931
488	3754	3923
489	3772	3926
490	3784	3923
491	3795	3919
492	3812	3921
493	3823	3916
494	3841	3919
495	3851	3913
496	3867	3913
497	3879	3911
498	3890	3906
499	3904	3904
500	3915	3899
501	3939	3908
502	3964	3917
503	3986	3923
504	4033	3953
505	4054	3958
506	4075	3962
507	4087	3958
508	4099	3954
509	4110	3949
510	4119	3942
511	4132	3938
512	4139	3930
513	4147	3921
514	4157	3915
515	4169	3910
516	4177	3902
517	4186	3895
518	4202	3894
519	4211	3887
520	4230	3889
521	4241	3884
522	4254	3880
523	4266	3875
524	4274	3867
525	4283	3860
526	4297	3857
527	4306	3849
528	4313	3840
529	4326	3836
530	4335	3829
531	4342	3819
532	4354	3815
533	4368	3812
534	4378	3805
535	4388	3799
536	4399	3792
537	4408	3785
538	4423	3783
539	4434	3777
540	4441	3768
541	4456	3766
542	4468	3760
543	4477	3753
544	4489	3748
545	4498	3740
546	4504	3730
547	4516	3725
548	4537	3727
549	4552	3725
550	4565	3720
551	4578	3715
552	4590	3710
553	4601	3704
554	4626	3709
555	4638	3704
556	4656	3703
557	4692	3716
558	4766	3760
559	4780	3756
560	4791	3749
561	4799	3740
562	4807	3731
563	4817	3724
564	4827	3716
565	4834	3707
566	4844	3699
567	4851	3690
568	4859	3681
569	4869	3673
570	4882	3668
571	4896	3663
572	4906	3656
573	4916	3649
574	4927	3642
575	4935	3633
576	4958	3634
577	4963	3624
578	4970	3614
579	4982	3608
580	4995	3602
581	5002	3593
582	5018	3589
583	5025	3580
584	5032	3570
585	5045	3564
586	5058	3558
587	5066	3549
588	5077	3542
589	5086	3535
590	5093	3525
591	5104	3517
592	5117	3512
593	5126	3503
594	5136	3496
595	5150	3491
596	5159	3482
597	5172	3477
598	5183	3470
599	5191	3460
600	5196	3449
601	5206	3441
602	5219	3436
603	5226	3426
604	5241	3422
605	5254	3416
606	5260	3405
607	5273	3399
608	5284	3392
609	5294	3384
610	5310	3380
611	5324	3375
612	5334	3367
613	5351	3364
614	5357	3354
615	5367	3346
616	5381	3340
617	5392	3333
618	5409	3329
619	5422	3323
620	5431	3314
621	5447	3310
622	5455	3301
623	5475	3299
624	5486	3291
625	5500	3286
626	5516	3281
627	5528	3274
628	5546	3271
629	5554	3262
630	5574	3259
631	5591	3256
632	5601	3247
633	5611	3239
634	5617	3229
635	5625	3219
636	5638	3213
